,NOSE_TIP,PH_BULB,NERVE_RING,angle
158,"[488.8667297, 112.1249619]","[459.1554871, 107.2164001]","[424.7574463, 102.2916641]",-1.23
159,"[498.278595, 109.5106125]","[460.467926, 112.4156265]","[424.2859192, 107.6324844]",11.92
160,"[501.4728394, 123.5953751]","[466.7433777, 119.9431152]","[432.965332, 115.0868607]",2.18
161,"[506.4120178, 130.0155334]","[472.6969604, 124.9880295]","[435.6363525, 119.7881775]",-0.49
162,"[508.4265747, 138.8238068]","[479.2819214, 130.3437653]","[436.0351257, 125.5994644]",-9.96
163,"[507.4474182, 150.4131927]","[481.4986572, 134.7860565]","[443.5823975, 127.3566055]",-19.97
164,"[508.0779419, 170.5940704]","[482.4720459, 149.6998138]","[449.0458984, 137.1129913]",-18.58
165,"[512.723938, 175.5590668]","[482.6029663, 160.8593292]","[449.9849854, 145.9014893]",-1.38
166,"[515.5481567, 177.4026031]","[483.1148987, 170.8952179]","[452.5032043, 156.6322632]",13.64
167,"[522.8188477, 170.3261719]","[487.5538025, 178.3700256]","[452.5582275, 165.9624786]",32.37
168,"[527.8330688, 160.534256]","[498.4372559, 177.9547119]","[463.3774414, 175.1752167]",35.18
169,"[526.7302856, 151.0566101]","[506.8475952, 176.4837189]","[468.3992004, 183.9662781]",40.96
170,"[526.5830078, 145.6815643]","[503.7920837, 174.0125732]","[469.7129211, 187.1328583]",30.13
171,"[523.5507813, 139.3414459]","[506.7720032, 172.8312073]","[473.4051819, 192.6856689]",32.63
172,"[510.5949097, 134.3880005]","[504.9288635, 170.627533]","[483.734436, 194.3654938]",32.87
173,"[505.3467102, 124.6036377]","[502.4998474, 164.8021698]","[487.1785583, 192.2389832]",25.13
174,"[502.9457703, 117.6296844]","[495.9719238, 154.5346222]","[484.2915344, 189.0955048]",7.97
175,"[506.2915649, 111.3962173]","[491.9122925, 142.4076233]","[481.450531, 181.5754395]",-9.92
176,"[504.294281, 106.3736954]","[488.6763916, 138.8959198]","[479.7522888, 177.0438232]",-12.48
